SCHOOL_YEAR,SYSTEM_ID,ORIGINAL_SCHOOL_ID,CHANGE_TYPE,SYSTEM_ID2,NEW_ID,GRADES,CHANGE_DESC
2020-2021,676,1050,SCHOOL_SPLIT,676,1050,,Split
2019-2020,681,0296,SCHOOL_MERGE,681,0296,,Merge
2019-2020,681,0396,SCHOOL_MERGE,681,0396,,Merge
2018-2019,691,0114,SCHOOL_ID_CHANGE,691,0114,,ID Change
2018-2019,691,0214,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,691,0214,"PK,4-5",Closure
2018-2019,691,0214,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,691,0214,PK,Reconfiguration
2018-2019,691,0100,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,691,0100,3,Reconfiguration
2019-2020,701,0105,SCHOOL_AUTHORIZATION,7830630,0105,,Charter Authorization
2019-2020,706,0112,SCHOOL_MERGE,706,0112,,Merge
2018-2019,712,0203,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,712,0203,PK-5,Closure
2018-2019,712,0189,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0189,6,Reconfiguration
2018-2019,712,0403,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0403,6,Reconfiguration
2018-2019,712,0203,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0203,5,Reconfiguration
2018-2019,712,0203,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0203,"PK,1,2,3,4",Reconfiguration
2018-2019,712,0103,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0103,5,Reconfiguration
2018-2019,712,0106,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0106,5,Reconfiguration
2018-2019,712,0303,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0303,5,Reconfiguration
2018-2019,712,0203,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0203,"PK,1,2,3,4",Reconfiguration
2018-2019,712,0203,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0203,"PK,1,2,3,4",Reconfiguration
2018-2019,712,0189,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0189,"7,8",Reconfiguration
2018-2019,712,0403,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,712,0403,"7,8",Reconfiguration
2019-2020,721,0184,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,721,0184,PK-5,Closure
2019-2020,721,0184,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,0184,"6,7,8",Reconfiguration
2019-2020,721,1062,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,721,1062,PK-5,Closure
2019-2020,721,1065,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,721,1065,PK-5,Closure
2019-2020,721,0184,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,0184,"6,7,8",Reconfiguration
2019-2020,721,0184,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,0184,"6,7,8",Reconfiguration
2019-2020,721,0184,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,0184,"6,7,8",Reconfiguration
2019-2020,721,4062,SCHOOL_SPECIAL_CASE_SCHOOL_CLOSED,721,4062,PK-5,Closure
2019-2020,721,1065,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,1065,"PK,1,2,3,4,5",Reconfiguration
2019-2020,721,4062,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,4062,"PK,1,2,3,4,5",Reconfiguration
2019-2020,721,1065,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,1065,"PK,1,2,3,4,5",Reconfiguration
2019-2020,721,4062,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,4062,"PK,1,2,3,4,5",Reconfiguration
2019-2020,721,1062,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,1062,"PK,1,2,3,4,5",Reconfiguration
2019-2020,721,0197,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,721,0197,"PK,1,2,3,4,5",Reconfiguration
2018-2019,721,0115,SCHOOL_SPECIAL_CASE_RECONFIGURE,721,0115,"4,5,6,7,8",Reconfiguration
2018-2019,721,0393,SCHOOL_SPECIAL_CASE_RECONFIGURE,721,0393,"PK,1,2,3",Reconfiguration
2020-2021,729,0396,SCHOOL_AUTHORIZATION,7830626,0396,,Charter Authorization
2021-2022,729,0105,SCHOOL_MERGE,729,0105,,Merge
2021-2022,729,0205,SCHOOL_MERGE,729,0205,,Merge
2020-2021,733,0105,SCHOOL_MERGE,733,0105,,Merge
2020-2021,733,0105,SCHOOL_MERGE,733,0105,,Merge
2020-2021,733,0205,SCHOOL_MERGE,733,0205,,Merge
2020-2021,721,0115,SCHOOL_SPECIAL_CASE_RECONFIGURE,721,0115,"6,7,8",Reconfiguration
2020-2021,721,0393,SCHOOL_SPECIAL_CASE_RECONFIGURE,721,0393,"PK,K,1,2,3,4,5",Reconfiguration
2018-2019,737,0104,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,0104,"PK,K,1,2,3,4,5",Reconfiguration
2018-2019,737,0173,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,0173,"PK,K,1,2,3,4,5",Reconfiguration
2018-2019,737,0299,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,737,0299,"7,8",Reconfiguration
2018-2019,737,1052,SCHOOL_SPECIAL_CASE_MOVE_STUDENTS,737,1052,6,Reconfiguration
2018-2019,737,2050,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,2050,"K,1,2,3,4,5",Reconfiguration
2018-2019,737,3050,SCHOOL_SPECIAL_CASE_RECONFIGURE,737,3050,"K,1,2,3,4,5",Reconfiguration
