"SORTR","YEAR","Level","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLID","SCHOOLNAME","CATEGORY","SUBGROUP","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","PCT_ON_OR_ABOVE_MIDPOINT","LEXILE_BELOW_GRADE_LEVEL","PCT_BELOW_GRADELEVEL","LEXILE_ON_GRADELEVEL_BELOW_MIDPOINT","PCT_LEXILE_ON_GRADELEVEL_BELOW_MIDPOINT","LEXILE_ON_GRADELEVEL_ABOVE_MIDPOINT","PCT_LEXILE_ON_GRADELEVEL_ABOVE_MIDPOINT","LEXILE_ABOVE_GRADE_LEVEL","PCT_LEXILE_ABOVE_GRADE_LEVEL"
1,2018,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","134256","134256",62950,"46.888",35005,"26.0733",36246,"26.9977",32671,"24.3349",30280,"22.5539"
1,2018,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","137195","137195",75095,"54.736",34894,"25.4339",27177,"19.809",20062,"14.623",55034,"40.1137"
1,2018,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","125116","125116",81037,"64.7695",31899,"25.4955",12138,"9.7014",22758,"18.1895",58279,"46.58"
1,2019,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","129266","129266",62404,"48.2756",29483,"22.808",37338,"28.8846",32965,"25.5017",29439,"22.774"
1,2019,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","136547","136547",81742,"59.8636",32012,"23.4439",22763,"16.6705",24343,"17.8276",57399,"42.0361"
1,2019,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","124727","124727",83000,"66.5453",31259,"25.0619",10451,"8.3791",19375,"15.5339",63625,"51.0114"
1,2021,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","97473","97473",42480,"43.5813",37299,"38.266",17692,"18.1507",18939,"19.43",23542,"24.1523"
1,2021,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","97434","97434",53191,"54.5918",30982,"31.7979",13259,"13.6082",21323,"21.8846",31868,"32.7073"
1,2021,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","83147","83147",46642,"56.0958",26713,"32.1274",9792,"11.7767",11797,"14.1881",34845,"41.9077"
1,2022,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","123026","123026",53720,"43.6656",44490,"36.1631",24814,"20.1697",27118,"22.0425",26602,"21.6231"
1,2022,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","126083","126083",66337,"52.6138",38228,"30.3197",21515,"17.0642",23285,"18.468",43052,"34.1458"
1,2022,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","134974","134974",76844,"56.9324",40180,"29.7687",17949,"13.2981",19362,"14.345",57482,"42.5875"
1,2023,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","124218","124218",57081,"45.9523",40495,"32.5999",26636,"21.4429",28759,"23.152",28322,"22.8002"
1,2023,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","126606","126606",67531,"53.3395",37362,"29.5104",21708,"17.1461",23580,"18.6247",43951,"34.7148"
