"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","Cluster","SINGLESCORE","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH"
"2018","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","72.8","60","84.5","73.3","72.9","73.2","60.2","87","87.5","77.1","77.1","69","88.4","95.8","73.7","87","80.9"
"2019","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","72.8","61.9","84.9","36.7","77.7","69.3","63.4","78.2","87.5","79.4","75.4","68.6","80.8","68","74.1","90","76.2"
"2020","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","","","","","","","","","","","","","","","","",""
"2022","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","","67","100.00+","","73.2","","59.2","53.5","","69.9","","63.1","44.8","","76.2","90.6",""
"2023","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","80.4","69.9","88.9","89.1","84.1","82.3","60.8","76.3","91.7","80.3","74.8","66.7","92.6","83.3","75.2","93.1","81.4"
"2024","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","68.7","73.5","83.3","13.3","83.9","70.1","61.7","77.6","20.5","81","65.0","61.6","74.8","30.6","74.6","93.9","69.3"
"2025","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","EMH","67.1","68.9","69.2","37","83.3","72.9","68.1","80","100","82.6","72.9","68.7","75.5","64.6","77.3","97.5","72.9"
"2018","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","H","80.9","","","","","","","","","","","69","88.4","95.8","73.7","87","80.9"
"2019","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","H","76.2","","","","","","","","","","","68.6","80.8","68","74.1","90","76.2"
"2020","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","H","","","","","","","","","","","","","","","","92.8",""
