"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP"
"2018","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","1","0","22","16","4","57",42.7,14,10
"2019","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","1.0","0.0","22.0","16.0","4.0","57.0",42.7,14,10
"2020","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","1.0","0.0","22.0","17.0","4.0","57.0",41.5,13.9,11
"2021","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","1","0","22","17","4","56",44.3,14.4,11
"2022","DISTRICT","601","First District RESA","601","Appling County","Appling County","601",".4","0","21.5","18.2","4.2","55.7",37.6,15.6,11.7
"2023","DISTRICT","601","First District RESA","601","Appling County","Appling County","601",".4","0","21.3","19.3","4.2","54.7",43.1,16.1,12.3
"2024","DISTRICT","601","First District RESA","601","Appling County","Appling County","601",".7",".1","21.2","20.1","4.6","53.4",69,16.7,13.1
"2025","DISTRICT","601","First District RESA","601","Appling County","Appling County","601",".6","0","20.1","20.2","5","54.1",63.1,16.7,13.2
"2018","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","1","0","21","12","3","63",36.1,12,2
"2019","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","1","0","22","12","3","61",32.2,13,2
"2020","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","1","0","21","14","4","61",31,12.3,2
"2021","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","1","0","23","15","3","58",35.4,12.7,3
"2022","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103",".6",".1","23.8","15.8","3.6","56.1",28.2,13.1,4.3
"2023","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103",".5","0","23.7","18.1","3.5","54.2",36.4,13.9,7
"2024","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","1.2","0","24.3","19.2","3.3","52",63,15.7,7.6
"2025","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103",".8","0","23.6","19.3","4.5","51.9",56.6,16.7,7.9
"2018","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","1","0","32","20","4","43",57.7,16,19
"2019","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","1","0","29","22","5","44",57.2,17,19
"2020","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","1","0","28","22","4","44",50.7,17.4,20
"2021","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","0","0","29","24","4","43",54.5,18.3,20
"2022","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177",".6","0","24.4","26.5","3.9","44.7",46.9,19.9,22.2
"2023","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177",".5","0","24.3","23.2","4.9","47",52.9,18.2,18.6
"2024","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177",".6",".1","23.9","24.5","5.8","45.1",78.7,17.5,20.2
"2025","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177",".7","0","22.6","24.1","5.8","46.9",72.8,15.5,19
"2018","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","1","0","23","15","4","57",41.3,13,8
"2019","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","1","0","24","16","4","55",41.5,13,10
"2020","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","1","0","23","18","4","54",43.3,14.9,13
"2021","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","0","0","23","17","4","55",45.9,16.2,12
"2022","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195",".4","0","23.3","19.3","4.2","52.8",40.5,17.1,14
"2023","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195",".4","0","23","20.4","4","52.3",44,18.7,14.3
"2024","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195",".5","0","22.6","21.1","3.9","51.8",67.8,19.5,15.9
"2025","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195",".7","0","20.6","22.7","2.7","53.2",63.4,19.7,17.2
"2018","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","1","0","29","24","4","41",57.3,18,21
"2019","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","1","0","25","24","4","45",56.4,16,21
"2020","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","0","0","27","24","4","45",54.4,11.4,20
"2021","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277","1","0","25","23","5","47",58.3,12.9,20
"2022","SCHOOL","6010277","First District RESA","601","Appling County","Appling County Primary School","0277",".5","0","25","20.8","5.1","48.5",49.7,15.5,16.6
"2018","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","1","0","7","7","3","82",36.2,17,5
"2019","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","1","0","10","7","3","80",37.3,15,6
"2020","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","0","0","7","7","3","83",34.3,14.7,6
"2021","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","0","0","6","7","4","83",35.4,13.2,5
"2022","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","0","0","5.1","7.1","3.1","84.7",28.8,12.1,4.2
"2023","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","0",".3","4.5","9.9","4.3","81",34.2,11.1,4.8
"2024","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","0",".3","6.7","8.1","5.4","79.6",64.3,12.1,3.5
"2025","SCHOOL","6011050","First District RESA","601","Appling County","Altamaha Elementary School","1050","0","0","7.3","8.8","5.6","78.2",56.3,13,4
"2018","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","14","12","3","72",39.4,14,10
"2019","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","10","13","3","74",31.6,14,10
"2020","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","13","12","5","69",40.4,15.1,10
"2021","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","9","15","5","71",36.5,10.3,13
"2022","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","7.9","15.1","7.9","69.1",33.3,18,12.2
"2023","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","8.8","14.2","6.2","70.8",35.3,15,9.7
"2024","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","4.2","17.5","8.3","70",60.6,13.3,10.8
"2025","SCHOOL","6015050","First District RESA","601","Appling County","Fourth District Elementary School","5050","0","0","5.6","14","13.3","67.1",57,17.5,10.5
"2018","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","0","0","16","40","1","43",44.9,12,19
"2019","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","0.0","0.0","16.0","40.0","1.0","43.0",44.9,12,19
"2020","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","0.0","0.0","15.0","42.0","2.0","41.0",43.2,11.9,21
"2021","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602","0","0","15","41","2","42",45.9,11.9,20
"2022","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602",".2",".1","14.9","41.8","1.7","41.3",39.6,13.4,21
"2023","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602",".2",".1","14.7","43.6","1.8","39.6",45.4,13.4,20.9
"2024","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602",".2","0","14.3","44.1","1.9","39.4",77.5,13.4,20.4
"2025","DISTRICT","602","Okefenokee RESA","602","Atkinson County","Atkinson County","602",".4","0","14.2","44.4","1.7","39.3",70.1,12.4,21.1
"2018","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","0","0","16","36","2","45",28.9,14,4
"2019","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","0","0","17","37","1","45",33.7,13,4
"2020","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","0","0","16","38","1","44",31.3,13.7,6
"2021","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103","0","0","15","37","1","47",33.5,10.3,8
"2022","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103",".2",".4","13.9","41.5","1.8","42.2",30,11.7,6.8
"2023","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103",".2",".2","14.7","43.5","1.3","40.1",35.2,10.8,8
"2024","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103",".2","0","15.4","45.5","1.5","37.4",71.8,11.5,8.3
"2025","SCHOOL","6020103","Okefenokee RESA","602","Atkinson County","Atkinson County High School","0103",".2","0","16.3","45.7","1.7","36.1",62.2,12.6,10.9
"2018","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","15","38","1","44",42.7,14,16
"2019","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","14","42","2","42",42,16,17
"2020","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","13","46","2","40",40.6,13.3,22
"2021","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","16","45","2","38",46.2,14.4,22
"2022","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","17.1","40.1","2.3","40.6",45.2,15.1,26.4
"2023","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111","0","0","15.4","44","2.1","38.5",46.1,16.1,26.6
"2024","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111",".3","0","16","44.2","1.1","38.4",79.8,14.1,26.2
"2025","SCHOOL","6020111","Okefenokee RESA","602","Atkinson County","Atkinson County Middle School","0111",".6","0","13.4","42.5","2","41.6",71.4,14,22.1
"2018","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","24","32","0","43",59.8,8,21
"2019","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","27","27","0","46",63.6,6,19
"2020","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","25","32","0","43",62.3,6.6,22
"2021","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","25","30","1","44",66.9,3.3,23
"2022","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","26.7","28.6",".6","44.1",59,4.3,19.3
"2023","SCHOOL","6020187","Okefenokee RESA","602","Atkinson County","Willacoochee Elementary School","0187","0","0","29.9","24.7","2.3","43.1",60.3,8,18.4
