"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","THIRD_GRADE_READING","FIFTH_GRADE_READING","EIGHTH_GRADE_READING","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","COLLEGEENROLLMENT"
"2018","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3613","DISTRICT","","72.8","43.8","47.9","71.8","73.1","69","90.2",""
"2019","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3627","DISTRICT","","72.8","43.8","47.9","71.8","73.1","69","90.2","53.15"
"2020","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3533","DISTRICT","","","","","","","","92.8","53.43"
"2021","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3495","DISTRICT","","","35.7","49.6","46.4","69.3","53.4","87.5","49.77"
"2022","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","912-3678600","249 Blackshear Highway","Baxley","GA","31513","3534","DISTRICT","","","48.2","49.8","51.8","","53.3","92","46.82"
"2023","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","912.367.3713","249 Blackshear Highway","Baxley","GA","31513-2670","3486","DISTRICT","","80.4","53.3","51.7","50.4","58.1","100","93.7","56.3"
"2024","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","912.367-8600","249 Blackshear Highway","Baxley","GA","31513","3480","DISTRICT","","68.7","44.6","60.8","48.1","67.1","100","93.8","49.58"
"2025","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","N/A","249 Blackshear Highway","Baxley","GA","31513","3380","DISTRICT","","67.1","50","49.3","47","70.3","100","99.2","28.02"
"2018","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1051","09, 10, 11, 12","","80.9","","","","72.6","41.6","88.8",""
"2019","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1022","09, 10, 11, 12","","76.2","","","","73.1","69","90.2","55.4"
