"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","Cluster","WEBSITE","PHONE_NUMBER","STREET","CITY","STATE","ZIP_CODE","TOTAL_ENROLL","GRADES","SSAS","SINGLESCORE","PCT_ASIAN","PCT_NATIVE","PCT_BLACK","PCT_HISPANIC","PCT_MULTI","PCT_WHITE","PCT_ED","PCT_SWD","PCT_LEP","CONTENT_MASTERYE","PROGRESSE","CLOSING_GAPE","READINESSE","CCRPISCOREE","THIRD_GRADE_READING","FIFTH_GRADE_READING","CONTENT_MASTERYM","PROGRESSM","CLOSING_GAPM","READINESSM","CCRPISCOREM","EIGHTH_GRADE_READING","CONTENT_MASTERYH","PROGRESSH","CLOSING_GAPH","READINESSH","GRADUATION_RATEH","CCRPISCOREH","ENGLISH_BEGH","ENGLISH_DEVH","ENGLISH_PROFH","ENGLISH_DISTH","MATH_BEGH","MATH_DEVH","MATH_PROFH","MATH_DISTH","SCIENCE_BEGH","SCIENCE_DEVH","SCIENCE_PROFH","SCIENCE_DISTH","SOC_BEGH","SOC_DEVH","SOC_PROFH","SOC_DISTH","COLLEGE_READINESS","ACCELERATED_COURSE_TAKING","FOUR_YEAR_GRADUATION_RATE","ENGLISH_BEGE","ENGLISH_DEVE","ENGLISH_PROFE","ENGLISH_DISTE","MATH_BEGE","MATH_DEVE","MATH_PROFE","MATH_DISTE","SCIENCE_BEGE","SCIENCE_DEVE","SCIENCE_PROFE","SCIENCE_DISTE","SOC_BEGE","SOC_DEVE","SOC_PROFE","SOC_DISTE","ENGLISH_BEGM","ENGLISH_DEVM","ENGLISH_PROFM","ENGLISH_DISTM","MATH_BEGM","MATH_DEVM","MATH_PROFM","MATH_DISTM","SCIENCE_BEGM","SCIENCE_DEVM","SCIENCE_PROFM","SCIENCE_DISTM","SOC_BEGM","SOC_DEVM","SOC_PROFM","SOC_DISTM","COLLEGEENROLLMENT","FINANCIALEFFICIENCY","SCHOOLCLIMATE","MOBILITY","PPE"
"2018","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3613","DISTRICT","","72.8","1","0","22","16","4","57",42.7,14,10,"60","84.5","73.3","72.9","73.2","43.8","47.9","60.2","87","87.5","77.1","77.1","71.8","69","88.4","95.8","73.7","87","80.9","21.4","32.4","37.1","9","23","38.5","31.7","6.8","20.5","22.7","42","14.8","14.5","32.4","41.9","11.2","73.1","69","90.2","26.3","40.4","27","6.3","14.7","41.7","34.8","8.8","28.5","33.8","32.4","5.3","16.9","61.3","15.5","6.3","23.4","35.9","36","4.7","16.7","43.9","30.3","9.1","28","34.9","29.9","7.3","14.6","56.9","23.8","4.6","","3","","13","9783.71"
"2019","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3627","DISTRICT","","72.8","1.0","0.0","22.0","16.0","4.0","57.0",42.7,14,10,"61.9","84.9","36.7","77.7","69.3","43.8","47.9","63.4","78.2","87.5","79.4","75.4","71.8","68.6","80.8","68","74.1","90","76.2","21.4","32.4","37.1","9","23","38.5","31.7","6.8","20.5","22.7","42","14.8","14.5","32.4","41.9","11.2","73.1","69","90.2","26.3","40.4","27","6.3","14.7","41.7","34.8","8.8","28.5","33.8","32.4","5.3","16.9","61.3","15.5","6.3","23.4","35.9","36","4.7","16.7","43.9","30.3","9.1","28","34.9","29.9","7.3","14.6","56.9","23.8","4.6","53.15","3","","13","9783.71"
"2020","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3533","DISTRICT","","","1.0","0.0","22.0","17.0","4.0","57.0",41.5,13.9,11,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.43","","","9.9","10350.62"
"2021","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","(912)367-8600","249 Blackshear Highway","Baxley","GA","31513","3495","DISTRICT","","","1","0","22","17","4","56",44.3,14.4,11,"","","","","","35.7","49.6","","","","","","46.4","","","","","","","33.5","38.3","22","6.2","29.7","43.4","22.3","4.7","24","27.9","37.6","10.5","23.2","30.4","32.1","14.3","69.3","53.4","87.5","32.2","38.3","25.1","4.5","15.8","42.8","32.2","9.3","34.9","31.9","26","7.2","","","","","28.3","38.8","28.7","4.2","18.8","48.8","26","6.5","40.3","28.8","25.3","5.6","17.6","55.4","23.6","3.4","49.77","","","12","12735.19"
"2022","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","912-3678600","249 Blackshear Highway","Baxley","GA","31513","3534","DISTRICT","","",".4","0","21.5","18.2","4.2","55.7",37.6,15.6,11.7,"67","100.00+","","73.2","","48.2","49.8","59.2","53.5","","69.9","","51.8","63.1","44.8","","76.2","90.6","","23.2","37.2","38.4","1.2","21.2","46","22.7","10.1","30","27.6","33.5","9","24.4","26.4","29.8","19.4","","53.3","92","24.6","37.6","30.9","6.9","12.2","37.6","39.3","11","23.3","34.7","32.2","9.9","","","","","28.7","36","31.5","3.8","16.5","45.9","28.2","9.5","35","32.9","26","6.1","23.5","40.2","28.6","7.6","46.82","","","11.6","12342.4"
"2023","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","912.367.3713","249 Blackshear Highway","Baxley","GA","31513-2670","3486","DISTRICT","","80.4",".4","0","21.3","19.3","4.2","54.7",43.1,16.1,12.3,"69.9","88.9","89.1","84.1","82.3","53.3","51.7","60.8","76.3","91.7","80.3","74.8","50.4","66.7","92.6","83.3","75.2","93.1","81.4","28.2","39.1","27.7","5","17.8","34.9","40","7.3","27.8","25.5","34.6","12.2","18.3","27.1","34.7","19.9","58.1","100","93.7","20.2","39.7","31.4","8.7","12","37.3","39","11.8","21.2","28.5","40","10.4","","","","","30.5","36.3","26.4","6.9","14.5","45.5","32.4","7.6","40.4","23.6","24","12","22","34.4","27.6","16","56.3","","","10.8","12888.61"
"2024","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","912.367-8600","249 Blackshear Highway","Baxley","GA","31513","3480","DISTRICT","","68.7",".7",".1","21.2","20.1","4.6","53.4",69,16.7,13.1,"73.5","83.3","13.3","83.9","70.1","44.6","60.8","61.7","77.6","20.5","81","65.0","48.1","61.6","74.8","30.6","74.6","93.9","69.3","29","41.2","25.9","3.9","21.7","33.5","30","14.8","32.8","42.1","23.5","1.6","13.2","37.4","29.5","19.8","67.1","100","93.8","20.7","38.5","33.2","7.6","11.3","27.8","41.5","19.3","26.8","24.3","33.2","15.7","","","","","27.3","36.9","30.4","5.4","12.4","42.6","34.6","10.4","42.5","29.7","20.8","7.1","26.1","34.1","30.1","9.7","49.58","3","","12.2","13680.52"
"2025","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","EMH","http://www.appling.k12.ga.us/","N/A","249 Blackshear Highway","Baxley","GA","31513","3380","DISTRICT","","67.1",".6","0","20.1","20.2","5","54.1",63.1,16.7,13.2,"68.9","69.2","37","83.3","72.9","50","49.3","68.1","80","100","82.6","72.9","47","68.7","75.5","64.6","77.3","97.5","72.9","24.4","42.6","26.7","6.2","13","28.2","39.7","19.1","30.7","27.9","30.3","11.2","20.3","31.1","29.1","19.5","70.3","100","99.2","23.1","37.1","33.4","6.4","12.4","34.7","34.8","18.1","28.8","32.2","31.2","7.8","","","","","25","35.9","30.9","8.2","12.2","36.9","38.7","12.3","28.7","31.1","30.1","10.1","18.8","28","39.6","13.5","28.02","0.0","","9.8",""
"2018","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1051","09, 10, 11, 12","","80.9","1","0","21","12","3","63",36.1,12,2,"","","","","","","","","","","","","","69","88.4","95.8","73.7","87","80.9","17.7","38.8","34.5","9.1","12.2","31.6","50.6","5.5","26","28.9","38.6","6.5","16.1","33.9","38.6","11.4","72.6","41.6","88.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","11.7",""
"2019","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1022","09, 10, 11, 12","","76.2","1","0","22","12","3","61",32.2,13,2,"","","","","","","","","","","","","","68.6","80.8","68","74.1","90","76.2","21.4","32.4","37.1","9","23","38.5","31.7","6.8","20.5","22.7","42","14.8","14.5","32.4","41.9","11.2","73.1","69","90.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.4","3.5","4","10.8","9464.52"
"2020","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1027","09, 10, 11, 12","","","1","0","21","14","4","61",31,12.3,2,"","","","","","","","","","","","","","","","","","92.8","","","","","","","","","","","","","","","","","","","","92.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.41","","","10","9674.11"
"2021","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","(912)367-8610","482 Blackshear Hwy","Baxley","GA","31513","1049","09, 10, 11, 12","","","1","0","23","15","3","58",35.4,12.7,3,"","","","","","","","","","","","","","","","","","","","33.5","38.3","22","6.2","29.7","43.4","22.3","4.7","24","27.9","37.6","10.5","23.2","30.4","32.1","14.3","69.3","53.4","87.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.55","","","8.9","11687.54"
"2022","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1078","09, 10, 11, 12","","",".6",".1","23.8","15.8","3.6","56.1",28.2,13.1,4.3,"","","","","","","","","","","","","","63.1","44.8","","76.2","90.6","","23.2","37.2","38.4","1.2","21.2","46","22.7","10.1","30","27.6","33.5","9","24.4","26.4","29.8","19.4","","53.3","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4","26.4","29.8","19.4","46.82","","","8.5","11132.98"
"2023","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1113","09, 10, 11, 12","","81.4",".5","0","23.7","18.1","3.5","54.2",36.4,13.9,7,"","","","","","","","","","","","","","66.7","92.6","83.3","75.2","93.1","81.4","28.2","39.1","27.7","5","17.8","34.9","40","7.3","27.8","25.5","34.6","12.2","18.3","27.1","34.7","19.9","58.1","100","93.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.3","","","6.5","11620.75"
"2024","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1112","09, 10, 11, 12","","69.3","1.2","0","24.3","19.2","3.3","52",63,15.7,7.6,"","","","","","","","","","","","","","61.6","74.8","30.6","74.6","93.9","69.3","29","41.2","25.9","3.9","21.7","33.5","30","14.8","32.8","42.1","23.5","1.6","13.2","37.4","29.5","19.8","67.1","100","93.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.58","3.5","3","10","12300.57"
"2025","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","H","http://www.appling.k12.ga.us/","912.367.8610","482 Blackshear Hwy","Baxley","GA","31513-6708","1049","09, 10, 11, 12","","75.9",".8","0","23.6","19.3","4.5","51.9",56.6,16.7,7.9,"","","","","","","","","","","","","","68.7","75.5","64.6","77.3","97.5","75.9","24.4","42.6","26.7","6.2","13","28.2","39.7","19.1","30.7","27.9","30.3","11.2","20.3","31.1","29.1","19.5","70.3","100","99.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","7.4",""
"2018","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","622","03, 04, 05","","71.8","1","0","32","20","4","43",57.7,16,19,"59.5","84.8","61.7","75.3","71.8","40.6","37.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3","38.8","25.1","2.8","13.9","39.7","36.3","10.1","26.6","37.5","27.2","8.7","17.4","56","22.3","4.3","","","","","","","","","","","","","","","","","","","4","10.7",""
"2019","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","595","03, 04, 05","","69.4","1","0","29","22","5","44",57.2,17,19,"61.3","80.7","50","76.5","69.4","39","45.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.9","42.2","24.7","5.2","14.8","41.6","34.1","9.5","28.7","32.8","32.3","6.2","18.5","57.4","16.4","7.7","","","","","","","","","","","","","","","","","","3","4","13.1","10175.15"
"2020","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","520","03, 04, 05","","","1","0","28","22","4","44",50.7,17.4,20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.1","11931.05"
"2021","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","(912)367-8640","680 Blackshear Hwy","Baxley","GA","31513","509","03, 04, 05","","","0","0","29","24","4","43",54.5,18.3,20,"","","","","","33","47.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1","38.9","24.7","3.3","14.1","44.4","32","9.5","34.7","32.7","26.5","6.1","","","","","","","","","","","","","","","","","","","","","","","","13.2","13956.04"
"2022","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","544","03, 04, 05","","",".6","0","24.4","26.5","3.9","44.7",46.9,19.9,22.2,"66.9","100.00+","","73.2","","47.7","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8","39.8","30.8","5.7","13.2","38.1","37.5","11.3","20.2","32.8","33.6","13.4","","","","","","","","","","","","","","","","","","","","","","","","11.7","13210.3"
"2023","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","1133","PK, KK, 01, 02, 03, 04, 05","","80.3",".5","0","24.3","23.2","4.9","47",52.9,18.2,18.6,"69.7","85.3","84.8","83.9","80.3","52.6","52.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","41.9","29.8","7.7","11.9","37.7","39.3","11.1","16.2","27.6","44.3","11.9","","","","","","","","","","","","","","","","","","","","","","","","14.3","13936.34"
"2024","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","1090","PK, KK, 01, 02, 03, 04, 05","","71.5",".6",".1","23.9","24.5","5.8","45.1",78.7,17.5,20.2,"73.5","80.6","30","83.7","71.5","47.9","54.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7","39.6","31.9","7.8","12","26.7","41","20.3","27.3","23","33.5","16.2","","","","","","","","","","","","","","","","","","","","","","2.5","2","16.1","14979.45"
"2025","SCHOOL","6010177","First District RESA","601","Appling County","Appling County Elementary School","0177","N","E","http://www.appling.k12.ga.us/","912.367.8640","680 Blackshear Hwy","Baxley","GA","31513-6709","1033","PK, KK, 01, 02, 03, 04, 05","","68.8",".7","0","22.6","24.1","5.8","46.9",72.8,15.5,19,"70.2","67.4","50","83.3","68.8","49.7","46.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6","37.4","33.9","6.1","10.9","31.3","35.9","22","34.1","31.9","29","5.1","","","","","","","","","","","","","","","","","","","","","","0.0","","11.2",""
"2018","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","818","06, 07, 08","","77.1","1","0","23","15","4","57",41.3,13,8,"","","","","","","","60.2","87","87.5","77.1","77.1","55.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","38.3","30.2","3.3","16.8","40.2","33.2","9.8","28.9","35","28","8.1","21.3","47.5","27.9","3.3","","","4","9.6",""
"2019","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","859","06, 07, 08","","75.4","1","0","24","16","4","55",41.5,13,10,"","","","","","","","63.4","78.2","87.5","79.4","75.4","71.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4","35.9","36","4.7","16.7","43.9","30.3","9.1","28","34.9","29.9","7.3","14.6","56.9","23.8","4.6","","4","4","10.7","8582.02"
"2020","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","867","06, 07, 08","","","1","0","23","18","4","54",43.3,14.9,13,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","9032.29"
"2021","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","(912)367-8630","2997 Blackshear Hwy","Baxley","GA","31513","875","06, 07, 08","","","0","0","23","17","4","55",45.9,16.2,12,"","","","","","","","","","","","","46.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3","38.8","28.7","4.2","18.8","48.8","26","6.5","40.3","28.8","25.3","5.6","17.6","55.4","23.6","3.4","","","","11.7","11331.88"
"2022","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","853","06, 07, 08","","",".4","0","23.3","19.3","4.2","52.8",40.5,17.1,14,"","","","","","","","59.2","53.5","","69.9","","51.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7","36","31.5","3.8","16.5","45.9","28.2","9.5","35","32.9","26","6.1","23.5","40.2","28.6","7.6","","","","11.6","11092.34"
"2023","SCHOOL","6010195","First District RESA","601","Appling County","Appling County Middle School","0195","N","M","http://www.appling.k12.ga.us/","912.367.8630","2997 Blackshear Hwy","Baxley","GA","31513-4303","775","06, 07, 08","","74.8",".4","0","23","20.4","4","52.3",44,18.7,14.3,"","","","","","","","60.8","76.3","91.7","80.3","74.8","50.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5","36.3","26.4","6.9","14.5","45.5","32.4","7.6","40.4","23.6","24","12","22","34.4","27.6","16","","","","13.4","12844.96"
