"YEAR","Level","SYS_SCH","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLNAME","SCHOOLID","SCHOOL_CODE_CHANGE_IND","TOTAL_ENROLL","THIRD_GRADE_READING","FIFTH_GRADE_READING","EIGHTH_GRADE_READING","ENGLISH_BEGE","ENGLISH_DEVE","ENGLISH_PROFE","ENGLISH_DISTE","MATH_BEGE","MATH_DEVE","MATH_PROFE","MATH_DISTE","SCIENCE_BEGE","SCIENCE_DEVE","SCIENCE_PROFE","SCIENCE_DISTE","SOC_BEGE","SOC_DEVE","SOC_PROFE","SOC_DISTE","ENGLISH_BEGM","ENGLISH_DEVM","ENGLISH_PROFM","ENGLISH_DISTM","MATH_BEGM","MATH_DEVM","MATH_PROFM","MATH_DISTM","SCIENCE_BEGM","SCIENCE_DEVM","SCIENCE_PROFM","SCIENCE_DISTM","SOC_BEGM","SOC_DEVM","SOC_PROFM","SOC_DISTM","ENGLISH_BEGH","ENGLISH_DEVH","ENGLISH_PROFH","ENGLISH_DISTH","MATH_BEGH","MATH_DEVH","MATH_PROFH","MATH_DISTH","SCIENCE_BEGH","SCIENCE_DEVH","SCIENCE_PROFH","SCIENCE_DISTH","SOC_BEGH","SOC_DEVH","SOC_PROFH","SOC_DISTH"
"2018","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3613","43.8","47.9","71.8","26.3","40.4","27","6.3","14.7","41.7","34.8","8.8","28.5","33.8","32.4","5.3","16.9","61.3","15.5","6.3","23.4","35.9","36","4.7","16.7","43.9","30.3","9.1","28","34.9","29.9","7.3","14.6","56.9","23.8","4.6","21.4","32.4","37.1","9","23","38.5","31.7","6.8","20.5","22.7","42","14.8","14.5","32.4","41.9","11.2"
"2019","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3627","43.8","47.9","71.8","26.3","40.4","27","6.3","14.7","41.7","34.8","8.8","28.5","33.8","32.4","5.3","16.9","61.3","15.5","6.3","23.4","35.9","36","4.7","16.7","43.9","30.3","9.1","28","34.9","29.9","7.3","14.6","56.9","23.8","4.6","21.4","32.4","37.1","9","23","38.5","31.7","6.8","20.5","22.7","42","14.8","14.5","32.4","41.9","11.2"
"2020","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3495","35.7","49.6","46.4","32.2","38.3","25.1","4.5","15.8","42.8","32.2","9.3","34.9","31.9","26","7.2","","","","","28.3","38.8","28.7","4.2","18.8","48.8","26","6.5","40.3","28.8","25.3","5.6","17.6","55.4","23.6","3.4","33.5","38.3","22","6.2","29.7","43.4","22.3","4.7","24","27.9","37.6","10.5","23.2","30.4","32.1","14.3"
"2022","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3534","48.2","49.8","51.8","24.6","37.6","30.9","6.9","12.2","37.6","39.3","11","23.3","34.7","32.2","9.9","","","","","28.7","36","31.5","3.8","16.5","45.9","28.2","9.5","35","32.9","26","6.1","23.5","40.2","28.6","7.6","23.2","37.2","38.4","1.2","21.2","46","22.7","10.1","30","27.6","33.5","9","24.4","26.4","29.8","19.4"
"2023","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3486","53.3","51.7","50.4","20.2","39.7","31.4","8.7","12","37.3","39","11.8","21.2","28.5","40","10.4","","","","","30.5","36.3","26.4","6.9","14.5","45.5","32.4","7.6","40.4","23.6","24","12","22","34.4","27.6","16","28.2","39.1","27.7","5","17.8","34.9","40","7.3","27.8","25.5","34.6","12.2","18.3","27.1","34.7","19.9"
"2024","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3480","44.6","60.8","48.1","20.7","38.5","33.2","7.6","11.3","27.8","41.5","19.3","26.8","24.3","33.2","15.7","","","","","27.3","36.9","30.4","5.4","12.4","42.6","34.6","10.4","42.5","29.7","20.8","7.1","26.1","34.1","30.1","9.7","29","41.2","25.9","3.9","21.7","33.5","30","14.8","32.8","42.1","23.5","1.6","13.2","37.4","29.5","19.8"
"2025","DISTRICT","601","First District RESA","601","Appling County","Appling County","601","N","3380","50","49.3","47","23.1","37.1","33.4","6.4","12.4","34.7","34.8","18.1","28.8","32.2","31.2","7.8","","","","","25","35.9","30.9","8.2","12.2","36.9","38.7","12.3","28.7","31.1","30.1","10.1","18.8","28","39.6","13.5","24.4","42.6","26.7","6.2","13","28.2","39.7","19.1","30.7","27.9","30.3","11.2","20.3","31.1","29.1","19.5"
"2018","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","1051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7","38.8","34.5","9.1","12.2","31.6","50.6","5.5","26","28.9","38.6","6.5","16.1","33.9","38.6","11.4"
"2019","SCHOOL","6010103","First District RESA","601","Appling County","Appling County High School","0103","N","1022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4","32.4","37.1","9","23","38.5","31.7","6.8","20.5","22.7","42","14.8","14.5","32.4","41.9","11.2"
